Strain,Stress(Mpa)
0.000253505,23.62322727
0.000255196,24.17758601
0.000256324,24.47334755
0.000257108,24.59597203
0.000257623,24.65982867
0.000257721,24.66078322
0.000257721,24.5848514
0.000257843,24.5200472
0.000259387,24.66491259
0.000261275,25.18051049
0.000262623,25.65258741
0.00026348,25.85082168
0.000264216,25.93564336
0.000264559,26.00362937
0.000264608,25.99441434
0.000264608,25.92102797
0.000265441,25.92420629
0.000267402,26.28668182
0.000268946,26.7971993
0.000269804,27.07866573
0.000270025,27.12918007
0.00027,27.03609615
0.000270368,26.96144056
0.000272206,27.18953846
0.000273922,27.7404021
0.000274975,28.13591608
0.000275735,28.2668028
0.000276201,28.32112587
0.000276299,28.3081014
0.000276299,28.23312413
0.000277034,28.23503147
0.000278946,28.61434615
0.000280588,29.13852098
0.000281544,29.44286364
0.00028201,29.50417832
0.000282132,29.4498549
0.000282132,29.36534965
0.000282574,29.31991958
0.000284363,29.57946678
0.000286225,30.19640734
0.000287525,30.61066783
0.000288284,30.76283916
0.000288725,30.78221329
0.000289069,30.7853951
0.000289118,30.78158182
0.000289265,30.74440909
0.000290735,30.91373776
0.000292623,31.43822727
0.000293873,31.87377622
0.000294436,32.04214196
0.000294461,31.97860979
0.000294975,31.88203497
0.000296495,32.13268357
0.000298162,32.68767657
0.000299216,33.11909231
0.000299632,33.22233916
0.000299632,33.11973077
0.000299632,32.94468322
0.000299975,32.84652273
0.000301667,33.1642028
0.000303456,33.79798042
0.000304534,34.27895105
0.000305172,34.43556818
0.000305245,34.38632867
0.00030527,34.2141451
0.000306422,34.23225175
0.000308113,34.69098776
0.000309681,35.28060629
0.000310515,35.66881818
0.000310613,35.67294755
0.000310588,35.50774825
0.000310907,35.36384266
0.000312574,35.57763986
0.000314265,36.23365734
0.000315294,36.73019406
0.000315515,36.85472727
0.00031549,36.71335664
0.000315637,36.54657343
0.000317108,36.72225524
0.000318922,37.3194965
0.000320441,37.86622727
0.000321789,38.23124825
0.000322892,38.50572378
0.000323946,38.68807552
0.000324755,38.86565909
0.000325662,39.04705594
0.000326569,39.26911538
0.000327426,39.50229371
0.00032826,39.70339161
0.00032902,39.85937413
0.000329804,40.0178951
0.000330613,40.19865559
0.000331348,40.39657168
0.000332157,40.5875
0.000332941,40.80225524
0.000333725,40.98365035
0.000334657,41.18474685
0.000335539,41.42173776
0.000336324,41.61647552
0.00033723,41.82392483
0.000338064,42.03963112
0.000338946,42.2655035
0.000339828,42.50503846
0.000340564,42.69564685
0.000341348,42.84718392
0.000342206,43.02508392
0.000342966,43.23602797
0.00034375,43.42822378
0.00034451,43.64011538
0.00034527,43.82374126
0.000346127,44.0207028
0.000347034,44.2345
0.000347892,44.46387063
0.00034875,44.67226923
0.000349632,44.87209091
0.000350392,45.08366783
0.00035125,45.29048252
0.00035201,45.49443007
0.000352794,45.6805979
0.000353578,45.86294056
0.000354338,46.04783916
0.000355123,46.26227273
0.000355882,46.48592308
0.000356618,46.66540909
0.000357426,46.85666434
0.000358235,47.07141608
0.000359044,47.29632867
0.000359975,47.50283217
0.000360809,47.71440559
0.000361642,47.91359091
0.000362524,48.15597902
0.000363309,48.38122028
0.000364167,48.57564685
0.000365049,48.80723077
0.000365809,49.01754196
0.000366691,49.22911538
0.000367475,49.45022378
0.00036826,49.61827972
0.00036902,49.80412238
0.000369853,50.00426224
0.000370637,50.22537063
0.00037152,50.43631119
0.000372402,50.65455245
0.000373211,50.86327273
0.000374118,51.06182517
0.000374902,51.2877028
0.00037576,51.48370979
0.000376593,51.68004196
0.000377377,51.89383916
0.000378211,52.10224476
0.000378971,52.30746503
0.00037973,52.47011888
0.000380515,52.6584965
0.000381275,52.84466434
0.000381985,53.04353497
0.000382794,53.26082867
0.000383554,53.48543357
0.000384338,53.67445455
0.00038527,53.89493007
0.000386054,54.1478042
0.000386936,54.36573427
0.000387868,54.61352098
0.000388676,54.83653497
0.000389681,55.06082168
0.00039049,55.32545455
0.000391324,55.52178322
0.00039223,55.7073042
0.000392917,55.88584266
0.000393676,56.04722727
0.000394485,56.24641608
0.000395221,56.45703846
0.00039598,56.6486049
0.000396887,56.8658986
0.000397696,57.12735315
0.000398578,57.35672028
0.000399387,57.57623427
0.00040027,57.77987063
0.000401029,57.98383217
0.000401887,58.22113636
0.000402794,58.45145455
0.000403627,58.6874965
0.000404412,58.89112587
0.000405196,59.06394406
0.000406005,59.26758042
0.00040674,59.45056993
0.000407549,59.61861888
0.000408284,59.82702448
0.00040902,60.0223986
0.000409853,60.24890559
0.000410686,60.4681049
0.000411471,60.66157343
0.000412353,60.86775175
0.000413186,61.12634615
0.00041402,61.35094755
0.000414926,61.57745105
0.000415637,61.79729371
0.000416422,61.98949301
0.000417328,62.2106014
0.000418064,62.43838462
0.000418848,62.62581119
0.000419632,62.82086713
0.000420368,63.01147203
0.000421201,63.21416434
0.000422108,63.45146853
0.000422941,63.69512587
0.000423775,63.90575175
0.000424657,64.12272727
0.000425515,64.36417483
0.000426348,64.57353147
0.000427206,64.7993986
0.000428015,65.0131958
0.000428848,65.22922028
0.000429559,65.43857692
0.000430319,65.61075524
0.000431078,65.80486713
0.000431789,65.98022727
0.000432574,66.15177622
0.000433407,66.41195455
0.000434167,66.61940559
0.000435098,66.83416084
0.000435907,67.08290909
0.000436716,67.29924126
0.000437696,67.5228951
0.000438554,67.79133217
0.000439338,68.02006294
0.000440196,68.22782867
0.000440956,68.44926573
0.00044174,68.63891608
0.000442598,68.8523951
0.000443309,69.05253497
0.000444118,69.23361189
0.000444902,69.4633007
0.000445686,69.67773427
0.000446495,69.88772378
0.000447426,70.12598601
0.00044826,70.3706014
0.000449142,70.62252448
0.000449951,70.83823077
0.00045076,71.03106993
0.000451642,71.23660839
0.0004525,71.46533916
0.000453382,71.71027273
0.000454167,71.95806294
0.000454951,72.16328671
0.00045576,72.35294755
0.000456471,72.54355245
0.000457132,72.71033916
0.000457941,72.87648951
0.000458701,73.09663636
0.00045951,73.31234615
0.000460417,73.55156643
0.000461176,73.81937063
0.000462034,74.0338042
0.00046299,74.26444755
0.000463774,74.51890559
0.000464706,74.75621678
0.000465515,74.99321329
0.000466275,75.18508392
0.000467181,75.3811014
0.00046799,75.61395804
0.000468701,75.83825175
0.000469534,76.03266783
0.000470196,76.23503497
0.000470858,76.3926049
0.000471691,76.57813287
0.000472549,76.84403147
0.000473382,77.08514685
0.000474265,77.31705944
0.000475147,77.54261538
0.000476005,77.78976923
0.000476961,78.04963287
0.000477819,78.29806294
0.000478652,78.51217832
0.000479436,78.73138811
0.000480221,78.94200699
0.000481005,79.13802448
0.000481691,79.32005245
0.000482426,79.4788986
0.000483235,79.66982517
0.000483946,79.90491259
0.000484804,80.12474476
0.000485735,80.36427972
0.000486471,80.61715385
0.000487328,80.82141958
0.00048826,81.07397902
0.000489069,81.31415035
0.000489951,81.53017483
0.00049076,81.76748252
0.000491593,81.98001049
0.000492426,82.20937762
0.000493186,82.44065385
0.000493897,82.61316084
0.000494681,82.78946154
0.000495417,83.00548951
0.000496275,83.23676923
0.000497157,83.48519231
0.000498015,83.7564965
0.000498848,83.98490909
0.000499755,84.21681818
0.000501141,84.46244532
0.000501901,84.57750558
0.000502281,84.67822437
0.000502661,84.77894315
0.000503042,84.87966194
0.000503422,84.98038072
0.000503802,85.08109951
0.000504182,85.18181829
0.000504563,85.28253708
0.000504943,85.38325587
0.000505323,85.48397465
0.000505703,85.58469344
0.000506084,85.68541222
0.000506464,85.78613101
0.000506844,85.88684979
0.000507224,85.98756858
0.000507605,86.08828737
0.000507985,86.18900615
0.000508365,86.28972494
0.000508745,86.39044372
0.000509125,86.49116251
0.000509506,86.59188129
0.000509886,86.69260008
0.000510266,86.79331886
0.000510646,86.89403765
0.000511027,86.99475644
0.000511407,87.09547522
0.000511787,87.19619401
0.000512167,87.29691279
0.000512548,87.39763158
0.000512928,87.49835036
0.000513308,87.59906915
0.000514068,87.68533698
0.000514829,87.77160481
0.000515589,87.85787264
0.00051635,87.94414047
0.00051711,88.0304083
0.000517871,88.11667613
0.000518631,88.20294396
0.000519392,88.28921179
0.000520152,88.37547962
0.000520913,88.46174745
0.000521673,88.54801528
0.000522434,88.63428311
0.000523194,88.72055094
0.000523955,88.80681877
0.000524715,88.8930866
0.000525475,88.97935442
0.000526236,89.06562225
0.000526996,89.15189008
0.000527757,89.23815791
0.000528517,89.32442574
0.000529278,89.41069357
0.000530038,89.4969614
0.000530799,89.58322923
0.000531559,89.66949706
0.00053232,89.75576489
0.00053308,89.84203272
0.000533841,89.92830055
0.000534601,90.01456838
0.000535362,90.10083621
0.000536122,90.18710404
0.000536882,90.31656052
0.000537643,90.44601701
0.000538403,90.57547349
0.000539164,90.70492997
0.000539924,90.83438645
0.000540685,90.96384294
0.000541445,91.09329942
0.000542205,91.2227559
0.000542966,91.35221238
0.000543726,91.48166887
0.000544487,91.61112535
0.000545247,91.74058183
0.000546008,91.87003831
0.000546768,91.9994948
0.000547529,92.12895128
0.000548289,92.25840776
0.000549049,92.38786425
0.00054981,92.51732073
0.00055057,92.64677721
0.000551331,92.77623369
0.000552091,92.90569018
0.000552852,93.03514666
0.000553612,93.16460314
0.000554372,93.29405962
0.000555133,93.42351611
0.000555893,93.55297259
0.000556654,93.68242907
0.000557414,93.81188555
0.000558175,93.94134204
0.000558935,94.07079852
0.000559695,94.17146257
0.000560456,94.27212661
0.000561216,94.37279066
0.000561977,94.47345471
0.000562737,94.57411876
0.000563498,94.6747828
0.000564258,94.77544685
0.000565019,94.8761109
0.000565779,94.97677495
0.00056654,95.07743899
0.0005673,95.17810304
0.000568061,95.27876709
0.000568821,95.37943114
0.000569582,95.48009518
0.000570342,95.58075923
0.000571102,95.68142328
0.000571863,95.78208732
0.000572623,95.88275137
0.000573384,95.98341542
0.000574144,96.08407947
0.000574905,96.18474351
0.000575665,96.28540756
0.000576426,96.38607161
0.000577186,96.48673566
0.000577947,96.5873997
0.000578707,96.68806375
0.000579468,96.7887278
0.000580228,96.88939185
0.000580989,96.99005589
0.000581749,97.09071994
0.000582129,97.19143873
0.000582509,97.29215751
0.00058289,97.3928763
0.00058327,97.49359508
0.00058365,97.59431387
0.00058403,97.69503265
0.000584411,97.79575144
0.000584791,97.89647022
0.000585171,97.99718901
