Strain,Stress (MPa)
0.000173103,29.75463059
0.000173594,29.84624573
0.000174085,29.93786087
0.000174576,30.02947601
0.000175067,30.12109114
0.000175557,30.21270628
0.000176048,30.30432142
0.000176539,30.39593656
0.00017703,30.4875517
0.000177521,30.57916683
0.000178011,30.67078197
0.000178502,30.76239711
0.000178993,30.85401225
0.000179484,30.94562738
0.000179975,31.03724252
0.000180466,31.12885766
0.000180956,31.2204728
0.000181447,31.31208793
0.000181938,31.40370307
0.000182429,31.49531821
0.00018292,31.58693335
0.00018341,31.67854848
0.000183901,31.77016362
0.000184392,31.86177876
0.000184883,31.9533939
0.000185374,32.04500904
0.000185864,32.13662417
0.000186355,32.22823931
0.000186846,32.31985445
0.000187337,32.41146959
0.000187828,32.50308473
0.000188318,32.59469986
0.000188809,32.686315
0.0001893,32.77793014
0.000189791,32.86954528
0.000190282,32.96116041
0.000190773,33.05277555
0.000191263,33.14439069
0.000191754,33.23600583
0.000192245,33.32762097
0.000192736,33.4192361
0.000193227,33.51085124
0.000193717,33.60246638
0.000194208,33.69408152
0.000194699,33.78569666
0.00019519,33.87731179
0.000195681,33.96892693
0.000196171,34.06054207
0.000196662,34.15215721
0.000197153,34.24377234
0.000197644,34.33538748
0.000198135,34.42700262
0.000198625,34.51861776
0.000199116,34.6102329
0.000199607,34.70184803
0.000200098,34.79346317
0.000200589,34.88507831
0.000201079,34.97669345
0.00020157,35.06830859
0.000202061,35.15992372
0.000202552,35.25153886
0.000203043,35.343154
0.000203534,35.43476914
0.000204024,35.52638427
0.000204515,35.61799941
0.000205006,35.70961455
0.000205497,35.80122969
0.000205988,35.89284483
0.000206478,35.98445996
0.000206969,36.0760751
0.00020746,36.16769024
0.00020795,36.24096841
0.000208439,36.31424657
0.000208929,36.38752474
0.000209419,36.4608029
0.000209909,36.53408107
0.000210398,36.60735923
0.000210888,36.6806374
0.000211378,36.75391557
0.000211868,36.82719373
0.000212357,36.9004719
0.000212847,36.97375006
0.000213337,37.04702823
0.000213826,37.12030639
0.000214316,37.19358456
0.000214806,37.26686273
0.000215296,37.34014089
0.000215785,37.41341906
0.000216275,37.48669722
0.000216765,37.55997539
0.000217254,37.63325355
0.000217744,37.70653172
0.000218234,37.77980989
0.000218724,37.85308805
0.000219213,37.92636622
0.000219703,37.99964438
0.000220193,38.07292255
0.000220683,38.14620072
0.000221172,38.21947888
0.000221662,38.29275705
0.000222152,38.36603521
0.000222641,38.43931338
0.000223131,38.51259154
0.000223621,38.58586971
0.000224111,38.65914788
0.0002246,38.73242604
0.00022509,38.80570421
0.00022558,38.87898237
0.000226069,38.95226054
0.000226559,39.0255387
0.000227049,39.09881687
0.000227539,39.17209504
0.000228028,39.2453732
0.000228518,39.31865137
0.000229008,39.39192953
0.000229498,39.4652077
0.000229987,39.53848586
0.000230477,39.61176403
0.000230967,39.6850422
0.000231456,39.75832036
0.000231946,39.83159853
0.000232436,39.90487669
0.000232926,39.97815486
0.000233415,40.05143303
0.000233905,40.12471119
0.000234395,40.19798936
0.000234885,40.27126752
0.000235374,40.34454569
0.000235864,40.41782386
0.000236354,40.49110202
0.000236844,40.56438019
0.000237333,40.63765835
0.000237823,40.71093652
0.000238313,40.78421469
0.000238803,40.85749285
0.000239292,40.93077102
0.000239782,41.00404918
0.000240272,41.07732735
0.000240762,41.15060552
0.000241251,41.22388368
0.000241741,41.29716185
0.000242231,41.37044001
0.000242721,41.44371818
0.00024321,41.51699634
0.0002437,41.59027451
0.00024419,41.66355268
0.00024468,41.73683084
0.000245169,41.81010901
0.000245659,41.88338717
0.000246149,41.95666534
0.000246639,42.02994351
0.000247128,42.10322167
0.000247618,42.17649984
0.000248108,42.249778
0.000248598,42.32305617
0.000249087,42.39633434
0.000249577,42.4696125
0.000250067,42.54289067
0.000250557,42.61616883
0.000251046,42.689447
0.000251536,42.76272517
0.000252026,42.83600333
0.000252516,42.9092815
0.000253005,42.98255966
0.000253495,43.05583783
0.000253986,43.15662145
0.000254478,43.25740508
0.000254969,43.3581887
0.00025546,43.45897233
0.000255952,43.55975595
0.000256443,43.66053957
0.000256934,43.7613232
0.000257426,43.86210682
0.000257917,43.96289044
0.000258408,44.06367407
0.0002589,44.16445769
0.000259391,44.26524132
0.000259882,44.36602494
0.000260374,44.46680856
0.000260865,44.56759219
0.000261356,44.66837581
0.000261848,44.76915944
0.000262339,44.86994306
0.00026283,44.97072668
0.000263322,45.07151031
0.000263813,45.17229393
0.000264304,45.27307755
0.000264796,45.37386118
0.000265287,45.4746448
0.000265779,45.57542843
0.00026627,45.67621205
0.000266761,45.77699567
0.000267253,45.8777793
0.000267744,45.97856292
0.000268235,46.07934654
0.000268727,46.18013017
0.000269218,46.28091379
0.000269709,46.38169742
0.000270201,46.48248104
0.000270692,46.58326466
0.000271183,46.68404829
0.000271675,46.78483191
0.000272166,46.88561554
0.000272657,46.98639916
0.000273149,47.08718278
0.00027364,47.18796641
0.000274131,47.28875003
0.000274623,47.38953365
0.000275114,47.49031728
0.000275605,47.5911009
0.000276097,47.69188453
0.000276588,47.79266815
0.000277078,47.8751148
0.000277569,47.95756145
0.000278059,48.04000811
0.000278549,48.12245476
0.000279039,48.20490141
0.00027953,48.28734806
0.00028002,48.36979471
0.00028051,48.45224136
0.000281,48.53468802
0.000281491,48.61713467
0.000281981,48.69958132
0.000282471,48.78202797
0.000282962,48.86447462
0.000283452,48.94692127
0.000283942,49.02936793
0.000284432,49.11181458
0.000284923,49.19426123
0.000285413,49.27670788
0.000285903,49.35915453
0.000286394,49.44160118
0.000286884,49.52404784
0.000287374,49.60649449
0.000287864,49.68894114
0.000288355,49.77138779
0.000288845,49.85383444
0.000289335,49.93628109
0.000289825,50.01872775
0.000290316,50.1011744
0.000290806,50.18362105
0.000291296,50.2660677
0.000291787,50.34851435
0.000292277,50.430961
0.000292767,50.51340766
0.000293257,50.59585431
0.000293748,50.67830096
0.000294238,50.76074761
0.000294728,50.84319426
0.000295219,50.92564091
0.000295709,51.00808757
0.000296199,51.09053422
0.000296689,51.17298087
0.00029718,51.25542752
0.00029767,51.33787417
0.00029816,51.42032082
0.00029865,51.50276748
0.000299141,51.58521413
0.000299631,51.66766078
0.000300608,51.77754317
0.000301586,51.88742555
0.000302563,51.99730794
0.00030354,52.10719033
0.000304517,52.21707272
0.000305495,52.3269551
0.000306472,52.43683749
0.000307449,52.54671988
0.000308426,52.65660227
0.000309404,52.76648465
0.000310381,52.87636704
0.000311358,52.98624943
0.000312336,53.09613182
0.000313313,53.2060142
0.00031429,53.31589659
0.000315267,53.42577898
0.000316245,53.53566137
0.000317222,53.64554375
0.000318199,53.75542614
0.000319177,53.86530853
0.000320154,53.97519092
0.000321131,54.0850733
0.000322108,54.19495569
0.000323086,54.30483808
0.000324063,54.41472047
0.00032504,54.52460285
0.000326017,54.63448524
0.000326995,54.74436763
0.000327972,54.85425002
0.000328949,54.9641324
0.000329927,55.07401479
0.000330904,55.18389718
0.000331881,55.29377957
0.000332858,55.40366195
0.000333836,55.51354434
0.000334813,55.62342673
0.00033579,55.73330912
0.000336768,55.8431915
0.000337745,55.95307389
0.000338722,56.06295628
0.000339699,56.17283867
0.000340677,56.28272105
0.000341654,56.39260344
0.000342631,56.50248583
0.000343608,56.61236822
0.000344586,56.7222506
0.000345563,56.83213299
0.000345812,56.93295148
0.00034606,57.03376996
0.000346309,57.13458845
0.000346558,57.23540693
0.000346806,57.33622542
0.000347055,57.4370439
0.000347304,57.53786239
0.000347552,57.63868087
0.000347801,57.73949936
0.00034805,57.84031784
